,country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
36574,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-15,-5.0,-9.0,-12.0,-11.0,,
36575,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-16,-1.0,-21.0,-23.0,-13.0,,
36576,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-17,-3.0,-2.0,4.0,-1.0,-4.0,
36577,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-18,-2.0,-2.0,-1.0,-2.0,-2.0,
36578,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-19,-7.0,-4.0,5.0,0.0,-4.0,
36579,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-20,-7.0,-7.0,-11.0,-3.0,-3.0,
36580,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-21,-3.0,-2.0,5.0,-3.0,-4.0,
36581,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-22,4.0,5.0,11.0,-3.0,,
36582,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-23,8.0,1.0,-4.0,-13.0,,
36583,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-24,-7.0,-12.0,-13.0,-1.0,2.0,
36584,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-25,-1.0,1.0,-5.0,-1.0,3.0,
36585,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-26,0.0,-3.0,1.0,-3.0,6.0,
36586,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-27,0.0,-4.0,-9.0,-1.0,4.0,
36587,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-28,-2.0,-6.0,-12.0,0.0,0.0,
36588,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-02-29,11.0,3.0,0.0,-4.0,,
36589,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-03-01,22.0,14.0,9.0,10.0,,
36590,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-03-02,-2.0,0.0,-25.0,-4.0,4.0,
36591,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-03-03,-5.0,-1.0,-11.0,-7.0,3.0,
36592,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-03-04,-6.0,-5.0,-7.0,-5.0,4.0,
36593,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-03-05,-14.0,-17.0,-25.0,-2.0,1.0,
36594,GB,United Kingdom,Greater London,City of London,,GB-LND,,ChIJ4Y3fTlUDdkgR0Gbsoi2uDgQ,2020-03-06,-4.0,2.0,5.0,-5.0,3.0,
