Croydon,372752
Barnet,369088
Ealing,342494
Enfield,320524
Newham,318227
Bromley,317899
Brent,317264
Lambeth,314242
Wandsworth,310516
Southwark,298464
Redbridge,288272
Hillingdon,286806
Lewisham,286180
Tower Hamlets,272890
Waltham Forest,265797
Greenwich,264008
Haringey,263386
Hounslow,262407
Hackney,257379
Harrow,243372
Havering,242080
Bexley,236687
Camden,229719
Westminster,226841
Islington,215667
Merton,203223
Sutton,195914
Barking and Dagenham,194352
Richmond upon Thames,191365
Hammersmith and Fulham,178685
Kingston upon Thames,166793
Kensington and Chelsea,155594
City of London,8000
